Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Home Limit Switch","KW12-3 Micro Limit Switch","Mechanical switch for manual touch-off height sensing.","electrical","sensor",1,1.50,1.50,"https://www.digikey.com/en/products/result?keywords=micro+limit+switch"
"End Limit Switch","KW12-3 Micro Limit Switch","Mechanical switch for manual touch-off height sensing.","electrical","sensor",1,1.50,1.50,"https://www.digikey.com/en/products/result?keywords=micro+limit+switch"
"Environmental Sensor","SHT31-D Module","High-accuracy digital temperature and humidity sensor with I2C interface for high sensitivity.","electrical","sensor",1,8.50,8.50,"https://www.adafruit.com/product/2857"
"Ambient Light Sensor","BH1750 FVI","","electrical","sensor",1,4.00,4.00,"https://www.amazon.com/s?k=BH1750+sensor"
"Illumination LED","5mm Warm White LED 3000K","","electrical","actuator",1,0.20,0.20,"https://www.digikey.com/en/products/result?keywords=5mm+white+led"
"UV-C Sterilization LED","275nm UVC LED Module","","electrical","actuator",1,12.00,12.00,"https://www.digikey.com/en/products/result?keywords=UVC+LED+275nm"
"System Battery","3.7V 2000mAh LiPo","Main power source for the device.","electrical","power",1,14.00,14.00,"https://www.adafruit.com/product/2011"
"USB-C Charger","TP4056 USB-C Module","Manages charging of the LiPo battery via a USB-C input.","electrical","power",1,2.50,2.50,"https://www.amazon.com/s?k=TP4056+USB-C"
"5V/9V Voltage Regulator","S13V25F5 Multi-Regulator","","electrical","power",1,12.00,12.00,"https://www.pololu.com/category/133/step-up-step-down-voltage-regulators"
"Optical Chamber Housing","Optical Chamber Housing","Light-tight enclosure for the photodiode and LED array to ensure consistent readings.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=Black+PLA+filament"
"MCU Mounting Tray","MCU Mounting Tray","Snap-fit bracket for the ESP32-S3 controller board.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PLA+filament"
"Home Switch Bracket","Home Switch Bracket","Adjustable mount for the home position limit switch.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=limit+switch+mount"
"End Switch Bracket","End Switch Bracket","Adjustable mount for the end-of-travel limit switch.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=limit+switch+mount"
"M3 Hardware Pack","M3 Stainless Socket Head Screws","Various M3 screws for mounting motors, rails, and PCB supports.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/s?k=M3+screw+assortment"
"M3 Heat-Set Inserts","M3 Brass Threaded Inserts","Brass inserts for creating durable threads in 3D-printed parts.","mechanical","misc",12,0.15,1.80,"https://www.amazon.com/s?k=M3+heat+set+inserts"
